rank,ppm,es,lm,en
972,90,tuya,tuyo,yours
973,90,pies,pie,feet
974,90,club,club,club
975,90,terminado,terminar,finished
976,90,infierno,infierno,hell
977,90,creía,creer,I believed
978,90,luna,luna,Moon
979,90,salvar,salvar,save
980,90,carta,carta,letter
981,90,estés,estar,be
982,89,cielos,cielo,Heavens
983,89,teniente,teniente,lieutenant
984,89,encuentra,encontrar,find
985,89,veamos,ver,let's see
986,89,quise,querer,I wanted
987,89,escúchame,escuchar,listen to me
988,89,necesitan,necesitar,They need
989,89,ambos,ambosambo,both of them
990,89,decisión,decisión,decision
991,89,enemigo,enemigo,enemy
992,89,hicimos,hacer,we did
993,88,dulce,dulce,sweet
994,88,pruebas,pruebaprobar,tests
995,88,querías,querer,You wanted
996,88,abuelo,abuelo,grandfather
997,88,totalmente,totalmente,totally
998,88,mirando,mirar,looking at
999,88,vayan,ir,go
1000,88,carrera,carrera,race
1001,88,vuelo,vuelovolar,flight
1002,87,ante,ante,in view of
1003,87,bienvenido,bienvenido,Welcome
1004,87,harás,hacer,you will do
1005,87,encontramos,encontrar,we find
1006,87,encontrado,encontrar,found
1007,87,contacto,contactocontactar,Contact
1008,87,posición,posición,position
1009,87,saberlo,saber,know
1010,87,planeta,planeta,planet
1011,87,humanos,humano,humans
1012,87,coronel,coronel,colonel
1013,87,junto,juntojuntar,together
1014,87,diría,decir,would say
1015,87,ésa,ese,this
1016,87,base,basebasar,base
1017,86,oír,oír,hear
1018,86,suelo,suelosoler,I usually
1019,86,pelear,pelear,quarrel
1020,86,ayudarte,ayudar,help you
1021,86,pistola,pistola,gun
1022,86,frío,fríofreír,cold
1023,85,comandante,comandante,commander
1024,85,partes,partepartir,Parties
1025,85,llega,llegar,arrives
1026,85,verás,ver,you'll see
1027,85,sur,sur,south
1028,85,iremos,ir,we'll go
1029,85,rato,rato,little while
1030,84,mar,mar,sea
1031,84,espacio,espacio,space
1032,84,asesinato,asesinato,murder
1033,84,ventana,ventana,window
1034,84,prisa,prisa,rush
1035,84,tienda,tiendatender,store
1036,84,cámara,cámara,camera
1037,84,puedas,poder,You can
1038,84,según,según,according to
1039,84,broma,broma,joke
1040,83,reunión,reunión,meeting
1041,83,despierta,despertar,wake up
1042,83,sacar,sacar,take
1043,83,tí,ti,you
1044,83,segunda,segundo,second
1045,83,papel,papel,paper
1046,83,locura,locura,craziness
1047,82,departamento,departamento,department
1048,82,horrible,horrible,horrible
1049,82,enfermo,enfermo,sick
1050,82,pregunto,preguntar,I ask
1051,82,cárcel,cárcel,jail
1052,82,órdenes,orden,orders
1053,82,intento,intentointentar,try
1054,82,isla,isla,island
1055,82,salida,salidasalir,exit
1056,82,llamó,llamar,I call
1057,82,volveré,volver,I will be back
1058,82,usa,usar,uses
1059,82,gato,gato,cat
1060,82,hagan,hacer,do
1061,82,dejes,dejar,Leave
1062,81,duele,doler,hurts
1063,81,vengan,venir,come
1064,81,crimen,crimen,crime
1065,81,esperaba,esperar,I expected
1066,81,causa,causacausar,cause
1067,81,bar,bar,bar
1068,81,seré,ser,I will be
1069,81,ocho,ocho,eight
1070,81,temprano,temprano,early
1071,81,río,ríoreír,river
1072,80,relación,relación,relationship
1073,80,drogas,droga,Drugs
1074,80,luces,luz,lights
1075,80,bromeando,bromear,joking
1076,80,ojalá,ojalá,I wish
1077,80,hablamos,hablar,We speak
1078,80,trabaja,trabajar,works
1079,80,irse,ir,leave
1080,80,libros,libro,books
1081,80,radio,radio,radio
1082,79,vienes,venir,you come
1083,79,quedan,quedar,They remain
1084,79,excepto,excepto,except
1085,79,brazo,brazo,arm
1086,79,tome,tomar,take
1087,79,rojo,rojo,red
1088,79,conocido,conocidoconocer,known
1089,79,universidad,universidad,college
1090,79,investigación,investigación,research
1091,79,batalla,batalla,battle
1092,78,reglas,regla,rules
1093,78,cargo,cargocargar,position
1094,78,hogar,hogar,home
1095,78,ninguno,ninguno,none
1096,78,dieron,dar,They gave
1097,78,vuelva,volver,Return
1098,78,sabías,saber,You knew
1099,78,respeto,respetorespetar,respect
1100,78,estación,estación,station
1101,78,corte,cortecortar,court
1102,78,paciente,paciente,patient
1103,78,encuentro,encuentroencontrar,meeting
1104,78,energía,energía,Energy
1105,78,dejado,dejadodejar,left
1106,78,baile,baile,dance
1107,77,abuela,abuela,grandmother
1108,77,caliente,caliente,hot
1109,77,vieja,viejo,old woman
1110,77,viendo,ver,seeing
1111,77,veremos,ver,we will see
1112,77,rayos,rayo,Ray
1113,77,simple,simple,simple
1114,77,bailar,bailar,dance
1115,77,papa,papa,dad
1116,76,triste,triste,sad
1117,76,zona,zona,zone
1118,76,serás,ser,you will
1119,76,guardia,guardia,guard
1120,76,canción,canción,song
1121,76,salud,salud,Health
1122,76,escuchar,escuchar,listen
1123,76,parar,parar,stop
1124,76,estarás,estar,You will be
1125,76,cenar,cenar,diner
1126,76,soldados,soldado,soldiers
1127,76,caballo,caballo,horse
1128,75,serán,ser,will be
1129,75,estaremos,estar,we will be
1130,75,interesa,interesar,interests
1131,75,volar,volar,to fly
1132,75,principio,principio,beginning
1133,75,nivel,nivel,level
1134,75,cálmate,calmar,take it easy
1135,75,conocer,conocer,know
1136,75,finalmente,finalmente,Finally
1137,75,alegro,alegraralegro,glad
1138,75,debajo,debajo,under
1139,74,podrían,poder,could
1140,74,bosque,bosque,forest
1141,74,bonita,bonito,pretty
1142,74,bolsa,bolsa,bag
1143,74,pone,poner,places
1144,74,taxi,taxi,cab
1145,74,ocupado,ocupadoocupar,occupied
1146,74,amable,amable,gentle
1147,74,acaso,acaso,perhaps
1148,74,detente,detener,stop
1149,74,imbécil,imbécil,fool
1150,74,san,sanSan,saint
1151,74,equivocado,equivocado,wrong
1152,74,viva,vivir,live
1153,74,puso,poner,put
1154,74,obra,obraobrar,construction site
1155,74,consejo,consejo,tip
1156,73,público,público,public
1157,73,ayúdame,ayudar,Help me
1158,73,animales,animal,animals
1159,73,azul,azul,blue
1160,73,apuesto,apostar,handsome
1161,73,prisión,prisión,prison
1162,73,mirar,mirar,look at
1163,73,inteligente,inteligente,intelligent
1164,73,metros,metro,meters
1165,73,fantástico,fantástico,fantastic
1166,73,próximo,próximo,next
1167,73,jugando,jugar,Playing
1168,73,ojo,ojo,eye
1169,72,salga,salir,out
1170,72,vea,ver,See
1171,72,llaman,llamar,They call
1172,72,entrada,entradaentrar,entry
1173,72,duda,dudadudar,doubt
1174,72,cerveza,cerveza,beer
1175,72,unidos,unidounir,United
1176,72,matado,matadomatar,killed
1177,72,princesa,princesa,princess
1178,72,perdí,perder,I missed
1179,72,entender,entender,to understand
1180,72,santa,santo,Holy
1181,72,quedar,quedar,stay
1182,72,miles,mil,Thousands
1183,72,llamaré,llamar,I will call
1184,72,compañero,compañero,co-worker
1185,71,pensado,pensar,thought-out
1186,71,espalda,espalda,back
1187,71,dejé,dejar,leave
1188,71,bomba,bomba,bomb
1189,71,cartas,carta,cards
1190,71,apenas,apenas,barely
1191,71,leer,leer,read
1192,71,hermanos,hermano,brothers
1193,71,darme,dar,give me
1194,71,papi,papi,Daddy
1195,71,mantener,mantener,hold
1196,71,suyo,suyo,yours
1197,71,rico,rico,rich
1198,71,verla,ver,see it
1199,71,lee,leer,read
1200,70,sigues,seguir,are you still
1201,70,toca,tocar,touches
1202,70,olvídalo,olvidar,forget it
1203,70,acción,acción,action
1204,70,hayas,haberhaya,be
1205,70,dioses,dios,gods
1206,70,mando,mandomandar,I send
1207,70,dejaré,dejar,I will leave
1208,69,llegue,llegar,I arrived
1209,69,formas,formaformar,shapes
1210,69,uh,uh,UH
1211,69,cierra,cerrar,Close
1212,69,damas,dama,ladies
1213,69,puente,puente,bridge
1214,69,memoria,memoria,memory
1215,69,regresa,regresar,came back
1216,69,muévanse,mover,move
1217,69,parecía,parecer,looked like
1218,69,vestido,vestidovestir,dress
1219,69,llaves,llave,keys
1220,69,tv,TV,TV
1221,69,camión,camión,truck
1222,69,acabar,acabar,finish
1223,69,robot,robot,robot
1224,69,llevó,llevar,wear
1225,69,montón,montón,lot
1226,69,estuviste,estar,You were
1227,68,máquina,máquina,machine
1228,68,puertas,puerta,doors
1229,68,podamos,poderpodar,we can
1230,68,muere,morir,go dead
1231,68,trago,tragotragar,drink
1232,68,mayoría,mayoría,most
1233,68,reina,reinareinar,Queen
1234,68,lleno,llenollenar,full
1235,68,inglés,inglés,English
1236,68,don,don,Don
1237,68,soldado,soldadosoldar,soldier
1238,68,estrella,estrellaestrellar,star
1239,68,escuche,escuchar,I listened
1240,68,valor,valor,worth
1241,68,pido,pedir,I ask
1242,68,delante,delante,in front of
1243,68,código,código,code
1244,68,héroe,héroe,hero
1245,68,fe,fe,faith
1246,68,capaz,capaz,capable
1247,67,verme,ver,see me
1248,67,beber,beber,to drink
1249,67,velocidad,velocidad,speed
1250,67,darte,dar,to give you
1251,67,llevas,llevar,You carry
1252,67,partido,partidopartir,match
1253,67,estuviera,estar,I was
1254,67,dia,día,day
1255,67,opinión,opinión,opinion
1256,67,irte,ir,go
1257,67,cocina,cocinacocinar,kitchen
1258,67,abrir,abrir,open
1259,67,perros,perro,dogs
1260,67,tambien,también,also
1261,67,sepa,saber,Know
1262,67,pareces,parecer,You seem
1263,67,escribir,escribir,to write
1264,67,golpe,golpe,blow
1265,67,tenia,tener,had
1266,67,alta,alta,high
1267,66,estados,estadoestar,state
1268,66,tocar,tocar,play
1269,66,vuelvo,volver,I come back
1270,66,habían,haber,They were
1271,66,ganas,ganaganar,desire
1272,66,hacerte,hacer,make you
1273,66,dejo,dejar,left
1274,66,volvió,volver,went back
1275,66,ejemplo,ejemplo,example
1276,66,contar,contar,count
1277,66,tenían,tener,They had
1278,65,propósito,propósito,purpose
1279,65,entiende,entender,understands
1280,65,empieza,empezar,begin
1281,65,anillo,anillo,ring
1282,65,londres,Londres,London
1283,65,tendría,tener,would have
1284,65,pedir,pedir,ask
1285,65,estilo,estilo,style
1286,65,ayudarme,ayudar,help me
1287,65,pista,pista,clue
1288,65,cambiado,cambiarcambiado,changed
1289,65,escapar,escapar,get away
1290,65,eeuu,EEUU,USA
1291,65,encontró,encontrar,he found
1292,65,espíritu,espíritu,spirit
1293,65,viejos,viejo,old
1294,65,molesta,molestar,upset
1295,65,nota,notanotar,note
1296,65,diferencia,diferencia,difference
1297,65,tratar,tratar,treat
1298,65,precio,precio,price
1299,64,caballero,caballero,Knight
1300,64,sirve,servir,it serves
1301,64,alegra,alegrar,Alegra
1302,64,doble,doble,double
1303,64,agradable,agradable,nice
1304,64,embargo,embargo,embargo
1305,64,tengan,tener,have
1306,64,tuvimos,tener,We had
1307,64,sube,subir,goes up
1308,64,estén,estar,are
1309,64,mami,mami,Mommy
1310,64,emergencia,emergencia,emergency
1311,64,cuello,cuello,neck
1312,64,boda,boda,wedding
1313,64,aprender,aprender,to learn
1314,64,té,té,tea
1315,64,informe,informeinformar,report
1316,64,blanca,blancoBlanca,white
1317,64,experiencia,experiencia,experience
1318,64,debía,deber,should
1319,64,podido,poder,I have
1320,63,mentira,mentira,lie
1321,63,director,director,director
1322,63,mata,matar,Bush
1323,63,exacto,exacto,exact
1324,63,déjalo,dejar,leave it alone
1325,63,defensa,defensa,defending
1326,63,tuviste,tener,You saw
1327,63,confiar,confiar,trust
1328,63,color,color,color
1329,63,hacerle,hacer,do
1330,63,aquel,aquel,that
1331,63,conocí,conocer,I met
1332,63,probar,probar,try
1333,63,príncipe,príncipe,the prince
1334,63,irá,ir,gonna
1335,63,despacio,despacio,slowly
1336,63,tiro,tirotirar,threw
1337,63,vacaciones,vacación,holidays
1338,63,perdió,perder,lost
1339,63,fondo,fondo,background
1340,62,verde,verde,green
1341,62,parecen,parecer,they look like
1342,62,mama,mama,mother
1343,62,bienvenida,bienvenida,welcome
1344,62,opción,opción,option
1345,62,operación,operación,operation
1346,62,hablado,hablar,spoken
1347,62,traer,traer,bring
1348,62,principal,principal,major
1349,62,demonio,demonio,evil
1350,62,zapatos,zapato,shoes
1351,62,leo,leer,Leo
1352,62,respecto,respecto,regard
1353,62,nuevos,nuevo,new
1354,62,especie,especie,species
1355,62,pidió,pedir,asked
1356,62,éxito,éxito,success
1357,61,cabrón,cabrón,dumbass
1358,61,mírame,mirar,Look at me
1359,61,piernas,pierna,legs
1360,61,unidad,unidad,Unit
1361,61,hielo,hielo,ice
1362,61,llegamos,llegar,we arrived
1363,61,déjeme,dejar,Leave me
1364,61,debí,deber,debí
1365,61,vendrá,venir,will come
1366,61,matrimonio,matrimonio,marriage
1367,61,habías,haber,You were
1368,61,podrá,poder,can
1369,61,piel,piel,skin
1370,60,preocupa,preocupar,worries
1371,60,quedarme,quedar,stay
1372,60,mio,míomio,mine
1373,60,tuviera,tener,had
1374,60,tiempos,tiempo,time
1375,60,quienes,quien,who
1376,60,oiga,oír,Listen
1377,60,últimos,último,last
1378,60,oigan,oír,Hey
1379,60,fuimos,irser,went
1380,60,arte,arte,art
1381,60,necesitaba,necesitar,needed
1382,60,quiénes,quién,Who is it
1383,60,común,común,common
1384,59,intentando,intentar,trying
1385,59,llevaré,llevar,I will carry
1386,59,levántate,levantar,Get up
1387,59,correr,correr,run
1388,59,brillante,brillante,sparkly
1389,59,calor,calor,heat
1390,59,planes,plan,Plans
1391,59,dra,doctora,Dra
1392,59,visita,visita,visit
1393,59,presión,presión,Pressure
1394,59,pared,pared,wall
1395,59,esperanza,esperanza,hope
1396,59,completo,completocompletar,complete
1397,59,subir,subir,go up
1398,59,cansado,cansarcansado,tired
1399,59,llame,llamar,I called
1400,59,recordar,recordar,to remember
1401,59,trampa,trampa,trap
1402,59,monstruo,monstruo,monster
1403,59,bajar,bajar,go down
1404,59,pierna,pierna,leg
1405,59,señores,señor,Sirs
1406,59,tomó,tomar,I take
1407,58,pasará,pasar,it will happen
1408,58,mataste,matar,kill you
1409,58,grandioso,grandioso,magnificent
1410,58,socio,socio,partner
1411,58,herido,herirherido,injured
1412,58,cayó,caer,it fell
1413,58,fuerzas,fuerzaforzar,forces
1414,58,cine,cine,cinema
1415,58,escena,escena,scene
1416,58,tía,tía,aunt
1417,58,dando,dar,giving
1418,58,puntos,punto,points
1419,58,teníamos,tener,we had
1420,58,dejaste,dejar,You left
1421,58,muévete,mover,move on
1422,58,larga,largolargar,long
1423,58,solía,soler,used to
1424,58,tema,tematemer,theme
1425,58,preparado,preparadopreparar,prepared
1426,58,depende,depender,depends
1427,58,policías,policía,Police
1428,58,solos,solo,alone
1429,58,matarme,matar,kill me
1430,57,pon,poner,put
1431,57,hubiese,haber,there would be
1432,57,bebe,beber,baby
1433,57,tanta,tanto,So much
1434,57,oeste,oeste,West
1435,57,parís,París,Paris
1436,57,viento,viento,wind
1437,57,jóvenes,joven,youths
1438,57,hacerme,hacer,make me
1439,57,asiento,asiento,seat
1440,57,estupendo,estupendo,great
1441,57,caminar,caminar,to walk
1442,57,juicio,juicio,judgment
1443,57,creerlo,creer,Believe it
1444,57,carga,cargacargar,burden
1445,57,tranquila,tranquilo,quiet
1446,57,banda,banda,band
1447,56,estarán,estar,will be
1448,56,animal,animal,animal
1449,56,escuchen,escuchar,listen
1450,56,encontraron,encontrar,They found
1451,56,dejas,dejar,you let
1452,56,tarjeta,tarjeta,card
1453,56,ibas,ir,You were
1454,56,podrás,poder,you can
1455,56,nueve,nueve,nine
1456,56,seguramente,seguramente,surely
1457,56,volverá,volver,To return to
1458,56,majestad,majestad,majesty
1459,56,llena,llenollenar,full
1460,56,caer,caer,fall
1461,56,aeropuerto,aeropuerto,airport
1462,56,vayamos,ir,Let's go
1463,56,acabado,acabar,finish
1464,56,sigo,seguir,I follow
1465,56,enorme,enorme,enormous
1466,56,área,área,area
1467,56,muevas,mover,move
1468,55,haberlo,haber,have
1469,55,dejen,dejar,Leave
1470,55,ridículo,ridículo,ridiculous
1471,55,reloj,reloj,clock
1472,55,hagamos,hacer,let's do
1473,55,flores,flor,flowers
1474,55,mapa,mapa,Map
1475,55,culpable,culpable,guilty
1476,55,cuentas,cuentacontar,accounts
1477,55,pareja,pareja,partner
1478,55,tomando,tomar,taking
1479,55,laboratorio,laboratorio,laboratory
1480,55,beso,besobesar,kiss
1481,55,empezó,empezar,it started
1482,55,pedí,pedir,I asked
1483,55,nariz,nariz,nose
1484,55,cuestión,cuestión,question
1485,55,terminó,terminar,term
1486,55,vengo,venir,I come
1487,55,perdona,perdonar,sorry
1488,55,acuerdas,acordar,You agree
1489,55,verano,verano,summer
1490,55,prefiero,preferir,I prefer
1491,55,peso,pesopesar,weight
1492,55,oscuridad,oscuridad,darkness
1493,55,diferentes,diferente,different
1494,55,cliente,cliente,client
1495,55,cuántas,cuántos,how many
1496,55,televisión,televisión,TV
1497,55,suya,suyo,hers
1498,55,prensa,prensa,press
1499,54,vistazo,vistazo,glance
1500,54,inmediatamente,inmediatamente,immediately
1501,54,solamente,solamente,only
1502,54,gordo,gordo,Fat
1503,54,quedarse,quedar,to stay
1504,54,posibilidad,posibilidad,possibility
1505,54,medicina,medicina,medicine
1506,54,malditos,maldito,Damn
1507,54,pantalones,pantalón,pants
1508,54,mataron,matar,They killed
1509,54,ayude,ayudar,help
1510,54,podremos,poder,we will can
1511,54,locos,loco,crazy
1512,54,nombres,nombre,Names
1513,54,parecer,parecer,look
1514,54,américa,América,America
1515,54,definitivamente,definitivamente,definitely
1516,54,cinta,cinta,headband
1517,53,desea,desear,wants
1518,53,brazos,brazo,arms
1519,53,asuntos,asunto,matters
1520,53,riesgo,riesgo,risk
1521,53,escuché,escuchar,listen
1522,53,lugares,lugar,places
1523,53,cuento,cuentocontar,story
1524,53,noticia,noticia,News
1525,53,dígame,decir,tell me
1526,53,decirlo,decir,say it
1527,53,tonterías,tontería,crap
1528,53,sentimientos,sentimiento,feelings
1529,53,objetivo,objetivo,objective
1530,53,pasada,pasadapasadopasar,pass
1531,53,arreglar,arreglar,arrange
1532,53,casado,casadocasar,married
1533,53,bote,botebotar,boat
1534,53,roja,rojo,Red
1535,53,leyes,ley,Laws
1536,53,millón,millón,million
1537,53,árbol,árbol,tree
1538,53,hable,hablar,I talked
1539,52,proyecto,proyecto,Project
1540,52,nervioso,nervioso,highly strung
1541,52,lana,lana,wool
1542,52,salido,salir,stepped out
1543,52,pedazo,pedazo,piece
1544,52,malas,malomala,bad
1545,52,joder,joder,fuck
1546,52,humana,humano,human
1547,52,absolutamente,absolutamente,absolutely
1548,52,evitar,evitar,avoid
1549,52,corriendo,correr,in a hurry
1550,52,bala,bala,bullet
1551,52,vosotros,vosotros,you
1552,52,despues,después,later
1553,52,debido,debidodeber,due
1554,52,confianza,confianza,confidence
1555,52,especialmente,especialmente,especially
1556,52,intenta,intentar,Try
1557,52,pequeños,pequeño,little ones
1558,52,paga,pagapagar,pay
1559,52,ganado,ganadoganar,livestock
1560,52,ama,amaamar,Love
1561,52,limpio,limpiolimpiar,cleansed
1562,52,comenzar,comenzar,begin
1563,51,ángeles,ángel,angels
1564,51,robots,robot,Robots
1565,51,lleve,llevar,I carried
1566,51,ruido,ruido,noise
1567,51,preocupe,preocupar,worry
1568,51,belleza,belleza,beauty
1569,51,salgan,salir,come out
1570,51,come,comer,eat
1571,51,verá,ver,You will see
1572,51,deberían,deber,They should
1573,51,líder,líder,Leader
1574,51,preguntar,preguntar,to ask
1575,51,inocente,inocente,innocent
1576,51,lástima,lástima,pity
1577,51,red,red,net
1578,51,enfermedad,enfermedad,illness
1579,51,desgraciado,desgraciadodesgraciar,unfortunate
1580,51,harán,hacer,They will do
1581,51,dientes,diente,teeth
1582,51,maté,matar,mate
1583,51,central,central,central
1584,51,ponte,poner,put
1585,51,felices,feliz,Happy
1586,51,supe,saber,I knew
1587,51,haberte,haber,have you
1588,50,marcha,marchamarchar,March
1589,50,poderes,poder,powers
1590,50,hubieras,haber,You would have
1591,50,justicia,justicia,Justice
1592,50,bella,bello,beautiful
1593,50,dé,dar,of
1594,50,proteger,proteger,to protect
1595,50,cabello,cabello,hair
1596,50,pedido,pedirpedido,order
1597,50,oscuro,oscuro,Dark
1598,50,embarazada,embarazadoembarazar,pregnant
1599,50,costa,costa,coast
1600,50,dama,dama,lady
1601,50,alguno,alguno,some
1602,50,orgulloso,orgulloso,proud
1603,50,vos,vos,you
1604,50,tomado,tomar,taken
1605,50,digamos,decir,Let's say
1606,50,debió,deber,had
1607,50,gana,ganaganar,Win
1608,50,cura,curacurar,healing
1609,50,lengua,lengua,language
1610,50,araña,arañaarañar,spider
1611,50,podré,poder,I will be able
1612,50,voluntad,voluntad,Will
1613,50,total,total,total
1614,49,dedo,dedo,finger
1615,49,pago,pagopagar,payment
1616,49,agradezco,agradecer,I appreciate
1617,49,partir,partir,leave
1618,49,lucha,luchaluchar,struggle
1619,49,leche,leche,milk
1620,49,diste,dar,you gave
1621,49,copa,copa,Cup
1622,49,quedarte,quedar,stay
1623,49,seguros,seguro,Insurance
1624,49,destruir,destruir,destroy
1625,49,bienvenidos,bienvenido,Welcome
1626,49,llevan,llevar,They carry
1627,49,ponga,poner,Put
1628,49,lados,lado,sides
1629,49,acceso,acceso,access
1630,49,intentar,intentar,attempt
1631,49,trajo,traer,He brought
1632,49,desastre,desastre,disaster
1633,49,deber,deber,have to
1634,49,herida,heridaheridoherir,wound
1635,49,débil,débil,weak
1636,49,naturaleza,naturaleza,nature
1637,49,luchar,luchar,struggle
1638,49,extraña,extrañoextrañar,strange
1639,49,encontraste,encontrar,by contrast
1640,49,vieron,ver,They saw
1641,49,llámame,llamar,call me
1642,49,imagen,imagen,image
1643,49,pan,pan,bread
1644,49,refieres,referir,You mean
1645,49,clientes,cliente,customers
1646,49,varios,varios,several
1647,49,show,show,Show
1648,49,auxilio,auxilio,help
1649,49,oyes,oír,you hear
1650,49,siguen,seguir,They continue
1651,49,sentado,sentarsentado,seated
1652,49,saliendo,salir,coming out
1653,49,responsable,responsable,responsible
1654,49,olvidado,olvidadoolvidar,forgotten
1655,48,quedó,quedar,It was
1656,48,permite,permitir,It allows
1657,48,aquella,aquella,that
1658,48,puse,poner,I put
1659,48,sonido,sonido,sound
1660,48,quiso,querer,He wanted
1661,48,escrito,escribir,written
1662,48,carro,carro,car
1663,48,preciosa,precioso,precious
1664,48,muestra,muestramostrar,sample
1665,48,bastardo,bastardo,bastard
1666,48,restaurante,restaurante,restaurant
1667,48,huevos,huevo,eggs
1668,48,fantasma,fantasma,ghost
1669,48,mismos,mismo,same
1670,48,profesional,profesional,professional
1671,48,amas,amaamar,You love
1672,48,entero,entero,whole
1673,48,películas,película,films
1674,48,cerrado,cerradocerrar,closed
1675,48,dedos,dedo,fingers
1676,48,sigan,seguir,Follow
1677,48,dueño,dueño,owner
1678,48,cuchillo,cuchillo,knife
1679,48,turno,turno,turn
1680,48,tormenta,tormenta,storm
1681,48,caray,caray,Wow
1682,48,abierto,abiertoabrir,open
1683,48,quede,quedar,remain
1684,48,verdadera,verdadero,True
1685,48,mato,matar,mato
1686,48,doc,doctor,doc
1687,48,playa,playa,beach
1688,48,km,km,km
1689,47,victoria,victoria,victory
1690,47,primo,primo,cousin
1691,47,oíste,oír,did you hear
1692,47,lisa,lisoLisa,smooth
1693,47,interior,interior,inside
1694,47,hechos,hechohacer,facts
1695,47,piedra,piedra,stone
1696,47,jodido,jodidojoder,fucking
1697,47,militar,militar,military
1698,47,computadora,computadora,computer
1699,47,encantaría,encantar,I would enchant
1700,47,siga,seguir,Follow
1701,47,silla,silla,chair
1702,47,movimiento,movimiento,movement
1703,47,momentos,momento,Moments
1704,47,familiar,familiar,family
1705,47,apartamento,apartamento,apartment
1706,47,disparar,disparar,shoot
1707,47,tesoro,tesoro,treasure
1708,47,perfecta,perfecto,Perfect
1709,47,refiero,referir,I mean
1710,47,motivo,motivo,reason
1711,47,dará,dar,give to
1712,47,nuevas,nuevo,new
1713,47,mr,mister,Mr
1714,47,querer,querer,want
1715,47,matarlo,matar,kill him
1716,47,valiente,valiente,brave
1717,47,víctima,víctima,victim
1718,47,tendrán,tener,They will have
1719,47,estúpida,estúpido,stupid
1720,47,envió,enviar,Shipping
1721,47,encantado,encantadoencantar,delighted
1722,47,diario,diario,daily
1723,47,abran,abrir,open
1724,46,sentí,sentir,I felt
1725,46,autobús,autobús,bus
1726,46,traído,traer,brought
1727,46,casas,casacasar,houses
1728,46,apúrate,apurar,hurry up
1729,46,encuentras,encontrar,You find
1730,46,descanso,descansodescansar,break
1731,46,sheriff,sheriff,Sheriff
1732,46,mueve,mover,move
1733,46,inglaterra,Inglaterra,England
1734,46,quieto,quieto,still
1735,46,matarte,matar,kill you
1736,46,calles,callecallar,streets
1737,46,tamaño,tamaño,size
1738,46,colegio,colegio,college
1739,46,usando,usar,wearing
1740,46,cabo,cabo,cape
1741,46,video,video,video
1742,46,toques,toquetocar,Touches
1743,46,pelota,pelota,ball
1744,46,yendo,ir,going
1745,46,directo,directo,straight
1746,46,termine,terminar,I finished
1747,46,vivos,vivo,alive
1748,46,sombrero,sombrero,hat
1749,46,tomé,tomar,take
1750,46,estudio,estudioestudiar,study
1751,46,grave,grave,serious
1752,46,protección,protección,protection
1753,46,secretos,secreto,Secrets
1754,46,perdiendo,perder,losing
1755,45,pecho,pecho,chest
1756,45,sepas,saber,know
1757,45,enferma,enfermo,ill
1758,45,cuesta,cuestacostar,cost
1759,45,negros,negro,Blacks
1760,45,estrellas,estrellaestrellar,stars
1761,45,lago,lago,lake
1762,45,clases,clase,lessons
1763,45,obviamente,obviamente,obviously
1764,45,inmediato,inmediato,immediate
1765,45,modos,modo,Modes
1766,45,irás,ir,you will go
1767,45,robo,roborobar,Stole
1768,45,mataré,matar,I will kill
1769,45,seria,ser,would be
1770,45,apoyo,apoyoapoyar,support for
1771,45,cerrar,cerrar,to close
1772,45,imagino,imaginar,I imagine
1773,45,amenaza,amenazaamenazar,threat
1774,45,toque,toquetocar,I touched
1775,45,saca,sacar,pulls out
1776,45,viernes,viernes,Friday
1777,45,hayan,haber,have
1778,45,roto,rotoromper,broken
1779,45,piloto,piloto,pilot
1780,45,marca,marcamarcar,brand
1781,45,combate,combatecombatir,combat
1782,45,hablé,hablar,I talked
1783,44,manejar,manejar,handle
1784,44,sección,sección,section
1785,44,profundo,profundo,deep
1786,44,tantos,tanto,so many
1787,44,conocía,conocer,I knew
1788,44,serie,serie,Serie
1789,44,contrato,contratocontratar,contract
1790,44,americano,americano,American
1791,44,paseo,paseopasear,walk
1792,44,aviones,avión,planes
1793,44,balas,bala,bullets
1794,44,repente,repente,Suddenly
1795,44,cambia,cambiar,Change
1796,44,tropas,tropa,troops
1797,44,llevará,llevar,carry
1798,44,uso,usousar,use
1799,44,pudiste,poder,You could
1800,44,detener,detener,having
1801,44,sabia,sabio,I knew
1802,44,llegué,llegar,I arrived
1803,44,negra,negro,Black
1804,44,decidido,decididodecidir,decided
1805,44,comienza,comenzar,begins
1806,44,distancia,distancia,distance
1807,44,éramos,ser,We were
1808,44,murieron,morir,They died
1809,44,averiguar,averiguar,figure out
1810,44,actuar,actuar,Act
1811,44,quedo,quedar,I remain
1812,44,pulso,pulsopulsar,pulse
1813,44,aguanta,aguantar,hold
1814,44,oficiales,oficial,Officers
1815,44,llamaba,llamar,I called
1816,44,enemigos,enemigo,enemies
1817,43,saldrá,salir,It will come out
1818,43,preocupado,preocupadopreocupar,concerned
1819,43,elección,elección,choice
1820,43,sobrevivir,sobrevivir,survive
1821,43,bordo,bordo,board
1822,43,sujeto,sujeto,subject
1823,43,pacientes,paciente,patients
1824,43,disculpen,disculpar,excuse me
1825,43,época,época,epoch
1826,43,entró,entrar,I enter
1827,43,pesar,pesar,to weigh
1828,43,habló,hablar,speak
1829,43,vender,vender,sell
1830,43,piensan,pensar,They think
1831,43,ex,ex,ex
1832,43,gratis,gratis,free
